Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
2018,10,20,ชลบุรี,38.7,20.4
2018,10,21,ระยอง,34.3,23
2018,10,22,จันทบุรี,35.5,22.5
2018,10,23,ตราด,34,22.3
2018,10,24,ฉะเชิงเทรา,35,20.2
2018,10,25,ปราจีนบุรี,35.9,21.2
2018,10,27,สระแก้ว,39.7,21.7
2018,10,30,นครราชสีมา,36.5,19.7
2018,10,31,บุรีรัมย์,35.9,18.8
2018,10,32,สุรินทร์,35.7,19.6
2018,10,33,ศรีสะเกษ,35.3,20.2
2018,10,34,อุบลราชธานี,35.9,19.5
2018,10,36,ชัยภูมิ,35.7,21.1
2018,10,40,ขอนแก่น,36.2,17.4
